itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
788,2,19692,142070,UA,597, ,4, ,1,J,UA,597,SLC,DEN
788,3,299,2064,UA,27, ,2, ,1,J,UA,27,DEN,LHR
789,1,99756,721610,UA,2413, ,7, ,1,J,UA,2413,ORD,SLC
789,2,60028,430723,UA,1662, ,11, ,1,J,UA,1662,SLC,DEN
789,3,299,2064,UA,27, ,2, ,1,J,UA,27,DEN,LHR
790,1,99756,721610,UA,2413, ,7, ,1,J,UA,2413,ORD,SLC
790,2,154288,130627,UA,6025, ,3, ,1,J,UA,6025,SLC,DEN
790,3,299,2064,UA,27, ,2, ,1,J,UA,27,DEN,LHR
791,1,78754,566769,UA,2034, ,11, ,1,J,UA,2034,ORD,MSY
791,2,21166,152731,UA,631, ,12, ,1,J,UA,631,MSY,DEN
791,3,299,2064,UA,27, ,2, ,1,J,UA,27,DEN,LHR
792,1,78754,566769,UA,2034, ,11, ,1,J,UA,2034,ORD,MSY
792,2,98335,711182,UA,2385, ,13, ,3,J,UA,2385,MSY,DEN
792,3,299,2064,UA,27, ,2, ,1,J,UA,27,DEN,LHR
793,1,59703,428471,UA,1652, ,8, ,1,J,UA,1652,ORD,DTW
793,2,200341,336030,UA,9197, ,3, ,1,J,LH,443,DTW,FRA
793,3,194132,311107,UA,8856, ,1, ,1,J,LH,902,FRA,LHR
794,1,59703,428471,UA,1652, ,8, ,1,J,UA,1652,ORD,DTW
794,2,200341,336030,UA,9197, ,3, ,1,J,LH,443,DTW,FRA
794,3,272962,47385,LH,902, ,1, ,1,J,LH,902,FRA,LHR
795,1,48791,350490,UA,1421, ,7, ,1,J,UA,1421,ORD,FLL
795,2,90547,653805,UA,2249, ,4, ,1,J,UA,2249,FLL,DEN
795,3,299,2064,UA,27, ,2, ,1,J,UA,27,DEN,LHR
796,1,146073,65502,UA,5540, ,6, ,1,J,UA,5540,ORD,BNA
796,2,61813,443686,UA,1701, ,12, ,1,J,UA,1701,BNA,EWR
796,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
797,1,45270,324586,UA,1358, ,13, ,1,J,UA,1358,ORD,MIA
797,2,13040,93597,UA,470, ,5, ,1,J,UA,470,MIA,IAH
797,3,48,309,UA,5, ,2, ,1,J,UA,5,IAH,LHR
798,1,43265,309160,UA,1332, ,8, ,2,J,UA,1332,ORD,EWR
798,2,689,4739,UA,64, ,1, ,1,J,UA,64,EWR,LIS
798,3,163145,174927,UA,6864, ,6, ,1,J,TP,1368,LIS,LHR
799,1,19821,142970,UA,600, ,13, ,2,J,UA,600,ORD,EWR
799,2,689,4739,UA,64, ,1, ,1,J,UA,64,EWR,LIS
799,3,164486,180472,UA,6877, ,5, ,1,J,TP,1364,LIS,LHR
800,1,35483,253860,UA,1135, ,1, ,1,J,UA,1135,ORD,SJO
800,2,55198,396125,UA,1560, ,3, ,1,J,UA,1560,SJO,EWR
800,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
801,1,37959,271444,UA,1198, ,3, ,1,J,UA,1198,ORD,CUN
801,2,75118,540542,UA,1962, ,4, ,1,J,UA,1962,CUN,EWR
801,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
802,1,45270,324586,UA,1358, ,13, ,1,J,UA,1358,ORD,MIA
802,2,48658,349540,UA,1418, ,10, ,3,J,UA,1418,MIA,EWR
802,3,30587,220412,UA,940, ,11, ,1,J,UA,940,EWR,LHR
