itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
702,3,131890,956592,UA,4590, ,1, ,1,J,UA,4590,PWM,EWR
703,1,100799,729201,UA,2433, ,4, ,1,J,UA,2433,IAH,DEN
703,2,73538,528609,UA,1932, ,13, ,1,J,UA,1932,DEN,CLT
703,3,8674,61918,UA,371, ,9, ,1,J,UA,371,CLT,EWR
704,1,142183,34568,UA,5350, ,4, ,1,J,UA,5350,IAH,TUL
704,2,141144,26304,UA,5296, ,3, ,1,J,UA,5296,TUL,ORD
704,3,16521,119205,UA,534, ,21, ,1,J,UA,534,ORD,EWR
705,1,142183,34568,UA,5350, ,4, ,1,J,UA,5350,IAH,TUL
705,2,149113,89643,UA,5687, ,2, ,1,J,UA,5687,TUL,ORD
705,3,16521,119205,UA,534, ,21, ,1,J,UA,534,ORD,EWR
706,1,124227,904522,UA,4077, ,6, ,1,J,UA,4077,IAH,JAX
706,2,55989,401852,UA,1577, ,7, ,1,J,UA,1577,JAX,ORD
706,3,16521,119205,UA,534, ,21, ,1,J,UA,534,ORD,EWR
707,1,124112,903726,UA,4069, ,4, ,1,J,UA,4069,IAH,GUC
707,2,135257,982555,UA,4767, ,2, ,1,J,UA,4767,GUC,DEN
707,3,106147,768772,UA,2613, ,4, ,1,J,UA,2613,DEN,EWR
708,1,124112,903726,UA,4069, ,4, ,1,J,UA,4069,IAH,GUC
708,2,150253,98731,UA,5749, ,2, ,1,J,UA,5749,GUC,DEN
708,3,106147,768772,UA,2613, ,4, ,1,J,UA,2613,DEN,EWR
709,1,32101,231066,UA,1030, ,8, ,1,J,UA,1030,IAH,ATL
709,2,15729,113448,UA,516, ,5, ,1,J,UA,516,ATL,ORD
709,3,16521,119205,UA,534, ,21, ,1,J,UA,534,ORD,EWR
710,1,32101,231066,UA,1030, ,8, ,1,J,UA,1030,IAH,ATL
710,2,24180,174983,UA,693, ,7, ,1,J,UA,693,ATL,ORD
710,3,16521,119205,UA,534, ,21, ,1,J,UA,534,ORD,EWR
711,1,80935,582631,UA,2074, ,18, ,2,J,UA,2074,IAH,DFW
711,2,7595,53624,UA,358, ,8, ,2,J,UA,358,DFW,IAD
711,3,50198,360344,UA,1460, ,9, ,2,J,UA,1460,IAD,EWR
712,1,80935,582631,UA,2074, ,18, ,2,J,UA,2074,IAH,DFW
712,2,39759,284326,UA,1240, ,5, ,1,J,UA,1240,DFW,IAD
712,3,50198,360344,UA,1460, ,9, ,2,J,UA,1460,IAD,EWR
713,1,123763,901311,UA,4048, ,7, ,1,J,UA,4048,IAH,DTW
713,2,117491,854132,UA,3516, ,7, ,1,J,UA,3516,DTW,IAD
713,3,50198,360344,UA,1460, ,9, ,2,J,UA,1460,IAD,EWR
714,1,123763,901311,UA,4048, ,7, ,1,J,UA,4048,IAH,DTW
714,2,155978,142652,UA,6190, ,12, ,1,J,UA,6190,DTW,IAD
714,3,50198,360344,UA,1460, ,9, ,2,J,UA,1460,IAD,EWR
715,1,122778,894507,UA,3995, ,5, ,1,J,UA,3995,IAH,SAV
715,2,123012,896131,UA,4006, ,5, ,1,J,UA,4006,SAV,IAD
715,3,50198,360344,UA,1460, ,9, ,2,J,UA,1460,IAD,EWR
716,1,122778,894507,UA,3995, ,5, ,1,J,UA,3995,IAH,SAV
716,2,155639,140319,UA,6165, ,3, ,1,J,UA,6165,SAV,IAD
716,3,50198,360344,UA,1460, ,9, ,2,J,UA,1460,IAD,EWR
717,1,137030,995706,UA,4887, ,10, ,1,J,UA,4887,IAH,TYS
717,2,130905,949841,UA,4540, ,4, ,1,J,UA,4540,TYS,ORD
717,3,38279,273638,UA,1209, ,6, ,2,J,UA,1209,ORD,EWR
718,1,100799,729201,UA,2433, ,4, ,1,J,UA,2433,IAH,DEN
718,2,11023,79017,UA,423, ,15, ,1,J,UA,423,DEN,DTW
718,3,115034,834764,UA,3420, ,13, ,1,J,UA,3420,DTW,EWR
719,1,100799,729201,UA,2433, ,4, ,1,J,UA,2433,IAH,DEN
