itinerary,leg_pos,row_number,record_serial,carrier,flight_number,operational_suffix,itinerary_var_id,itinerary_var_overflow,leg_sequence_number,service_type,operating_carrier,operating_flight_number,departure_station,arrival_station
134,2,76070,547543,UA,1977, ,4, ,1,J,UA,1977,IAH,BOS
134,3,190751,295771,UA,8611, ,4, ,1,J,AC,8697,BOS,YYZ
135,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
135,2,13302,95419,UA,477, ,14, ,2,J,UA,477,IAH,ORD
135,3,69462,499703,UA,1845, ,3, ,1,J,UA,1845,ORD,YYZ
136,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
136,2,58060,416956,UA,1617, ,8, ,1,J,UA,1617,IAH,ORD
136,3,69462,499703,UA,1845, ,3, ,1,J,UA,1845,ORD,YYZ
137,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
137,2,83830,603991,UA,2124, ,7, ,1,J,UA,2124,IAH,ORD
137,3,69462,499703,UA,1845, ,3, ,1,J,UA,1845,ORD,YYZ
138,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
138,2,99879,722538,UA,2417, ,15, ,1,J,UA,2417,IAH,ORD
138,3,69462,499703,UA,1845, ,3, ,1,J,UA,1845,ORD,YYZ
139,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
139,2,47667,342391,UA,1397, ,16, ,1,J,UA,1397,IAH,EWR
139,3,115513,838645,UA,3434, ,2, ,1,J,UA,3434,EWR,YYZ
140,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
140,2,71439,513824,UA,1886, ,4, ,1,J,UA,1886,IAH,EWR
140,3,115513,838645,UA,3434, ,2, ,1,J,UA,3434,EWR,YYZ
141,1,127217,924502,UA,4358, ,3, ,1,J,UA,4358,LFT,IAH
141,2,64498,463200,UA,1752, ,10, ,2,J,UA,1752,IAH,BOS
141,3,189599,289532,UA,8529, ,2, ,1,J,AC,767,BOS,YYZ
142,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
142,2,13302,95419,UA,477, ,14, ,2,J,UA,477,IAH,ORD
142,3,188986,286240,UA,8473, ,12, ,1,J,AC,510,ORD,YYZ
143,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
143,2,99879,722538,UA,2417, ,15, ,1,J,UA,2417,IAH,ORD
143,3,188986,286240,UA,8473, ,12, ,1,J,AC,510,ORD,YYZ
144,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
144,2,23325,168568,UA,678, ,6, ,2,J,UA,678,IAH,LGA
144,3,182333,250013,UA,8024, ,12, ,1,J,AC,8997,LGA,YYZ
145,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
145,2,154955,135678,UA,6120, ,2, ,1,J,UA,6120,IAH,LGA
145,3,182333,250013,UA,8024, ,12, ,1,J,AC,8997,LGA,YYZ
146,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
146,2,155841,141720,UA,6180, ,3, ,1,J,UA,6180,IAH,LGA
146,3,182333,250013,UA,8024, ,12, ,1,J,AC,8997,LGA,YYZ
147,1,122881,895221,UA,4000, ,11, ,1,J,UA,4000,LFT,IAH
147,2,156665,147255,UA,6247, ,3, ,1,J,UA,6247,IAH,LGA
147,3,182333,250013,UA,8024, ,12, ,1,J,AC,8997,LGA,YYZ
148,1,123683,900768,UA,4041, ,5, ,1,J,UA,4041,LFT,IAH
